"","Preffered_Vcmax.9.comps"
"(Intercept)",14.9085079276058
"Wave_500",50.9733297471054
"Wave_501",46.4499585259322
"Wave_502",44.992865213366
"Wave_503",47.5100657084124
"Wave_504",48.1557540615033
"Wave_505",43.8514362769663
"Wave_506",41.2289773512632
"Wave_507",37.0696110687235
"Wave_508",35.6951665598459
"Wave_509",34.783648166436
"Wave_510",31.4291686280274
"Wave_511",31.1974859064716
"Wave_512",28.6095911621981
"Wave_513",25.4461009467851
"Wave_514",24.5679220037707
"Wave_515",20.6526035204259
"Wave_516",16.2275640361045
"Wave_517",16.5618000754312
"Wave_518",15.4008778299482
"Wave_519",13.3208869092694
"Wave_520",16.6007889213
"Wave_521",15.9368385697708
"Wave_522",13.9154679981691
"Wave_523",16.0233695721586
"Wave_524",17.4965520980695
"Wave_525",18.5679556708943
"Wave_526",19.0558582858424
"Wave_527",20.7509542234194
"Wave_528",22.7498667690462
"Wave_529",24.1422017979033
"Wave_530",25.3315900565013
"Wave_531",28.2951565465782
"Wave_532",30.2658184156727
"Wave_533",31.8399021068648
"Wave_534",33.3236438526322
"Wave_535",33.9176689325089
"Wave_536",34.9687880576934
"Wave_537",36.2847143038797
"Wave_538",36.7690322490007
"Wave_539",37.9552293718659
"Wave_540",36.7703656869128
"Wave_541",36.9179012266344
"Wave_542",36.0207897372345
"Wave_543",34.7435520021156
"Wave_544",35.0570440707132
"Wave_545",35.573268585691
"Wave_546",34.9870041581811
"Wave_547",34.1324099996764
"Wave_548",35.812402561078
"Wave_549",35.574762967333
"Wave_550",33.4455877777332
"Wave_551",33.1988465685984
"Wave_552",32.9382358393819
"Wave_553",31.272725610797
"Wave_554",30.6889958932109
"Wave_555",28.3258848786026
"Wave_556",23.8326541908056
"Wave_557",18.8161496700543
"Wave_558",16.7745751466629
"Wave_559",15.8020256539774
"Wave_560",12.3598759703315
"Wave_561",10.4878719719417
"Wave_562",9.27091806727729
"Wave_563",9.51614025403425
"Wave_564",9.91875745865854
"Wave_565",11.1754262349253
"Wave_566",12.9742665152642
"Wave_567",13.4322936980927
"Wave_568",12.6128082150835
"Wave_569",12.6455478657618
"Wave_570",12.4883147375221
"Wave_571",10.2163507021228
"Wave_572",8.62695480202499
"Wave_573",7.0294251851326
"Wave_574",6.14322004958954
"Wave_575",4.60896611919786
"Wave_576",3.2367241742817
"Wave_577",3.63823420827376
"Wave_578",3.71841824006692
"Wave_579",0.865116057408982
"Wave_580",-0.0341201910093247
"Wave_581",-0.102515120699055
"Wave_582",-0.522380517766154
"Wave_583",-0.27550022092046
"Wave_584",0.703841389924952
"Wave_585",1.79175504976317
"Wave_586",1.72291324968566
"Wave_587",2.6651492284883
"Wave_588",3.49358443073851
"Wave_589",3.36514236321882
"Wave_590",6.56726366418451
"Wave_591",8.96357986213643
"Wave_592",8.81198265105864
"Wave_593",10.4712812726042
"Wave_594",13.4120144750166
"Wave_595",15.130666529102
"Wave_596",16.5898578207375
"Wave_597",17.8025449489149
"Wave_598",19.2148151922913
"Wave_599",21.1939842208927
"Wave_600",20.5062257154558
"Wave_601",18.8499661078625
"Wave_602",18.6007055649584
"Wave_603",17.891650790508
"Wave_604",17.6642804751894
"Wave_605",15.5496620200045
"Wave_606",12.2203588076518
"Wave_607",9.99230649516624
"Wave_608",6.99457552230754
"Wave_609",3.5954170711572
"Wave_610",1.64085397405981
"Wave_611",0.177848703846591
"Wave_612",-3.27080883652594
"Wave_613",-6.54163967345267
"Wave_614",-7.64860259312173
"Wave_615",-6.83818032347632
"Wave_616",-8.50015919473811
"Wave_617",-10.4020689610886
"Wave_618",-10.8680547358559
"Wave_619",-11.6921400631888
"Wave_620",-12.2947898717207
"Wave_621",-12.7529881927306
"Wave_622",-14.1616538455157
"Wave_623",-15.0774576397591
"Wave_624",-15.0920833123829
